x,y,z,rx,ry,rz
0.5182749999999999,0.57,0.09331249999999999,0,0,0
0.5293875,0.57,-0.7512375,0,0,0
0.5611375,0.57,-0.7512375,0,0,0
0.550025,0.57,0.09331249999999999,0,0,0
0.5817749999999999,0.57,0.09331249999999999,0,0,0
0.5928875,0.57,-0.7512375,0,0,0
0.61035,0.57,0.07743749999999999,0,0,0
0.61035,0.57,0.10601250000000001,0,0,0
0.6167,0.57,0.09013750000000001,0,0,0
0.6167,0.57,0.07743749999999999,0,0,0
0.626225,0.57,-0.644875,0,0,0
0.6214625,0.57,-0.22894999999999993,0,0,0
0.6214625,0.57,-0.7353625,0,0,0
0.6214625,0.57,-0.7639374999999999,0,0,0
0.6278125,0.57,-0.7480624999999999,0,0,0
0.6278125,0.57,-0.7353625,0,0,0
0.6278125,0.57,-0.7036124999999999,0,0,0
0.6405125,0.57,-0.7417125,0,0,0
0.619875,0.57,-0.18449999999999994,0,0,0
0.632575,0.57,0.09013750000000001,0,0,0
0.6421,0.57,-0.7401249999999999,0,0,0
0.6436875,0.57,-0.7480624999999999,0,0,0
0.6294,0.57,-0.7671124999999999,0,0,0
0.746875,0.57,0.11077500000000001,0,0,0
0.7579874999999999,0.57,-0.682975,0,0,0
0.683375,0.57,-0.7480624999999999,0,0,0
0.7516375,0.57,-0.18449999999999994,0,0,0
0.7008375,0.57,0.091725,0,0,0
0.7389375,0.57,0.091725,0,0,0
0.7484624999999999,0.57,0.07902500000000001,0,0,0
0.7548125,0.57,0.07902500000000001,0,0,0
0.7484624999999999,0.57,0.1076,0,0,0
0.753225,0.57,-0.206725,0,0,0
0.753225,0.57,-0.26387499999999997,0,0,0
0.75005,0.57,-0.746475,0,0,0
0.759575,0.57,-0.733775,0,0,0
0.7548125,0.57,-0.32737499999999997,0,0,0
0.7579874999999999,0.57,-0.6417,0,0,0
0.759575,0.57,-0.7623499999999999,0,0,0
0.765925,0.57,-0.733775,0,0,0
0.9722999999999999,0.57,0.10601250000000001,0,0,0
1.0913625,0.57,-0.82585,0,0,0
0.5166875,0.57,0.09490000000000001,0,0,0
0.530975,0.57,-0.7528249999999999,0,0,0
0.562725,0.57,-0.7528249999999999,0,0,0
0.5484375,0.57,0.09490000000000001,0,0,0
0.5801875,0.57,0.09490000000000001,0,0,0
0.594475,0.57,-0.7528249999999999,0,0,0
0.6087625,0.57,0.08061250000000003,0,0,0
0.6119375,0.57,0.10442500000000002,0,0,0
0.6182875,0.57,0.08855000000000002,0,0,0
0.6182875,0.57,0.08061250000000003,0,0,0
0.62305,0.57,-0.7623499999999999,0,0,0
0.619875,0.57,-0.7385374999999998,0,0,0
0.62305,0.57,-0.2432375,0,0,0
0.6246375,0.57,-0.448025,0,0,0
0.626225,0.57,-0.5607375,0,0,0
0.626225,0.57,-0.555975,0,0,0
0.626225,0.57,-0.4527875,0,0,0
0.626225,0.57,-0.543275,0,0,0
0.6278125,0.57,-0.6274125,0,0,0
0.6278125,0.57,-0.5829624999999999,0,0,0
0.6294,0.57,-0.7385374999999998,0,0,0
0.6294,0.57,-0.746475,0,0,0
0.632575,0.57,-0.7321874999999999,0,0,0
0.6294,0.57,-0.7163125,0,0,0
0.6341625,0.57,0.08855000000000002,0,0,0
0.6214625,0.57,-0.17814999999999998,0,0,0
0.6309875,0.57,-0.7686999999999999,0,0,0
0.7452875,0.57,0.11236250000000003,0,0,0
0.689725,0.57,-0.7433000000000001,0,0,0
0.689725,0.57,-0.746475,0,0,0
0.6929,0.57,-0.7448875000000001,0,0,0
0.7579874999999999,0.57,-0.6909125,0,0,0
0.7167125,0.57,0.09013750000000001,0,0,0
0.746875,0.57,0.050449999999999995,0,0,0
0.746875,0.57,0.08220000000000002,0,0,0
0.7421125,0.57,0.09013750000000001,0,0,0
0.753225,0.57,-0.340075,0,0,0
0.7436999999999999,0.57,-0.6369374999999999,0,0,0
0.75005,0.57,-0.16703749999999995,0,0,0
0.7484624999999999,0.57,0.01235,0,0,0
0.75005,0.57,0.10601250000000001,0,0,0
0.7564,0.57,0.08220000000000002,0,0,0
0.753225,0.57,-0.7448875000000001,0,0,0
0.7579874999999999,0.57,-0.73695,0,0,0
0.7675125,0.57,-0.73695,0,0,0
0.7611625,0.57,-0.7607625,0,0,0
0.9056249999999999,0.57,-0.8496625,0,0,0
0.7786249999999999,0.57,0.08378750000000001,0,0,0
0.810375,0.57,0.08696250000000003,0,0,0
0.937375,0.57,-0.8464874999999998,0,0,0
0.90245,0.57,0.08378750000000001,0,0,0
0.90245,0.57,0.11236250000000003,0,0,0
0.8421249999999999,0.57,0.091725,0,0,0
0.9691249999999999,0.57,-0.8417250000000001,0,0,0
0.9103875,0.57,0.08378750000000001,0,0,0
0.9119749999999999,0.57,0.09807500000000002,0,0,0
0.9357875,0.57,0.10125,0,0,0
0.9294374999999999,0.57,-0.059087500000000015,0,0,0
0.937375,0.57,-0.11782499999999996,0,0,0
0.937375,0.57,-0.11464999999999997,0,0,0
0.873875,0.57,0.09648750000000003,0,0,0
1.000875,0.57,-0.8369624999999998,0,0,0
1.01675,0.57,-0.69885,0,0,0
0.9389625,0.57,-0.1162375,0,0,0
1.0183375000000001,0.57,-0.7036124999999999,0,0,0
1.0183375000000001,0.57,-0.7115499999999999,0,0,0
1.019925,0.57,-0.7226625,0,0,0
1.019925,0.57,-0.7194875,0,0,0
1.026275,0.57,-0.8194999999999999,0,0,0
1.02945,0.57,-0.8464874999999998,0,0,0
1.038975,0.57,-0.816325,0,0,0
1.0326250000000001,0.57,-0.8052124999999999,0,0,0
1.0342125,0.57,-0.8179125,0,0,0
1.0358,0.57,-0.8306125,0,0,0
1.0818375,0.57,0.013937499999999992,0,0,0
1.04215,0.57,0.11553750000000002,0,0,0
1.0659625,0.57,0.1377625,0,0,0
1.0373875000000001,0.57,-0.8496625,0,0,0
1.0500875,0.57,-0.8274375,0,0,0
1.0485,0.57,-0.8194999999999999,0,0,0
1.0659625,0.57,0.1187125,0,0,0
1.06755,0.57,0.10601250000000001,0,0,0
1.0754875000000002,0.57,0.10601250000000001,0,0,0
1.06755,0.57,0.1345875,0,0,0
1.0834249999999999,0.57,0.010762500000000008,0,0,0
1.0834249999999999,0.57,0.007587500000000025,0,0,0
1.115175,0.57,-0.27974999999999994,0,0,0
1.09295,0.57,-0.059087500000000015,0,0,0
1.108825,0.57,-0.8179125,0,0,0
1.108825,0.57,-0.8210875,0,0,0
1.1104125,0.57,-0.8194999999999999,0,0,0
1.127875,0.57,-0.32261249999999997,0,0,0
1.191375,0.57,-0.797275,0,0,0
1.185025,0.57,-0.8099749999999999,0,0,0
1.19455,0.57,-0.8242624999999999,0,0,0
1.1993125,0.57,-0.7956874999999999,0,0,0
